Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002931;;75019;10;1;Mission vélo;REAMENAGEMENT_VOIRIE;;rue Manin et rue David d'Angers;;2025-10-27;2025-11-14;RESTREINTE;;2;2;;"{""coordinates"": [[[2.388887030024683, 48.883011803152726], [2.38885906781228, 48.88296601151554], [2.388116171437949, 48.88312601589603], [2.3881181607266195, 48.88330325089029], [2.3887599446857597, 48.88343273424009], [2.388683314270014, 48.88337058357718], [2.388159251968004, 48.883271238029785], [2.3882048247678056, 48.88320434070736], [2.3882012593255286, 48.883161358075036], [2.388887030024683, 48.883011803152726]]], ""type"": ""Polygon""}";48.88318302258288, 2.3884371408804905
CP002932;;75014;12;1;musée ville de paris;REHABILITATION_IMMEUBLE;;17-21 rue René Cotty;;2025-11-03;2026-04-30;RESTREINTE;;2;2;;"{""coordinates"": [[[2.334342959199716, 48.829598622125935], [2.3344312472248006, 48.829373542219976], [2.3343947470537048, 48.829365282486684], [2.33431448929833, 48.829598463663544], [2.334342959199716, 48.829598622125935]]], ""type"": ""Polygon""}";48.82947779024149, 2.334373052957334
CP002806;;75008;9;3;O.G.I.C;REHABILITATION_IMMEUBLE;Création d'un passage sous tunnel pour les piétons, cyclistes et bouche de ventilation RATP;59- 61 boulevard Haussmann;emprise et tunnel sur trottoir et chaussée.;2025-03-24;2026-09-14;RESTREINTE;;2;2;;"{""coordinates"": [[[2.325739779704052, 48.87393472624368], [2.3262006351844873, 48.87386884642891], [2.326208811463281, 48.87386620792348], [2.3262108121262854, 48.87386890371367], [2.326169565382859, 48.87375320531565], [2.3256782148561688, 48.87381622780024], [2.325739779704052, 48.87393472624368]]], ""type"": ""Polygon""}";48.87384285325348, 2.3259469835618387
CP002912;915949;75006;12;2;CPCU;ENTRETIEN_RESEAU;emprise sur chaussée réduction circulation reste 1 file de circulation sur 2;quai de Conti;5 quai de Conti;2025-07-15;2025-12-19;RESTREINTE;sur la durée total du chantier;1;2;;"{""coordinates"": [[[2.3397252110051094, 48.856445822686425], [2.339798869271938, 48.85649389298065], [2.339798860759979, 48.85649456474993], [2.3402139675152007, 48.85625182029441], [2.3402205901445905, 48.856210905688975], [2.340125804127647, 48.85622448037748], [2.3400488698831245, 48.85627440545171], [2.340000107729107, 48.85626876647562], [2.3397252110051094, 48.856445822686425]]], ""type"": ""Polygon""}";48.85634925302535, 2.3399671001223075
CP002923;;75019;10;1;SAGP;REAMENAGEMENT_VOIRIE;;avenue Débidour;;2025-09-15;2025-12-05;BARRAGE_TOTAL;;1;2;;"{""coordinates"": [[[2.3966381846483373, 48.881419974872514], [2.396743598694726, 48.88145809884628], [2.396751803692701, 48.88145277030833], [2.3968175017796485, 48.881404766999395], [2.397345633215961, 48.88150409531144], [2.39740343658074, 48.881434569723915], [2.3969405074289685, 48.8813302002293], [2.3969495194391635, 48.881255059185165], [2.3968030835755276, 48.88124358081845], [2.3966381846483373, 48.881419974872514]]], ""type"": ""Polygon""}";48.88138487490067, 2.3969806510859684
CP002937;;75004;11;1;DICOM;EVENEMENTIEL;Site Lobau - Cérémonie du 13 novembre;rue Lobau;;2025-11-02;2025-11-17;BARRAGE_TOTAL;"Fermeture totale de la rue Lobau
Inversion de la rue de l'Hotel de Ville.";1;2;;"{""coordinates"": [[[2.352685465683226, 48.85543598262962], [2.352786927105374, 48.855458014280636], [2.3528476297677967, 48.855485195446974], [2.35298784829599, 48.85566318359607], [2.353166692164667, 48.856007869218274], [2.353445201262909, 48.85651958179762], [2.3536601405696773, 48.85690742609383], [2.353827645032972, 48.856854625095785], [2.353668040511642, 48.856598659542534], [2.3534021354994064, 48.8560547918768], [2.35408805005694, 48.855873211023805], [2.3550557402179826, 48.855940192657336], [2.3550694107645387, 48.85582211223836], [2.3544024048397745, 48.85579166258139], [2.3541453427094448, 48.855519059676304], [2.3539170322305907, 48.855225129457764], [2.353806467774646, 48.85528092360207], [2.3539813462526915, 48.855617531194916], [2.353239339464773, 48.855810466593354], [2.352931478933485, 48.85528693615703], [2.352915603096175, 48.855254627416315], [2.352685465683226, 48.85543598262962]]], ""type"": ""Polygon""}";48.855893990018075, 2.3537127258768105
CP002680;;75015;12;3;R.A.T.P;TRAVAUX_OUVRAGE;Travaux de réfaction et d'agrandissement du réseaux de ventilation RATP.;42 boulevard du Montparnasse.;du 42 au 48 angle rue d'Alençon.;2024-10-07;2026-02-16;RESTREINTE;Fermeture du couloir de BUS RATP et renvoie des BUS dans la circulation générale. Réduction de la largeur du trottoir du 42 au 44.;2;2;;"{""coordinates"": [[[2.320606522927883, 48.84489093261104], [2.321090737865782, 48.84473054679169], [2.3210658001525717, 48.844692810964936], [2.3208093891972212, 48.844777957056245], [2.320811379697762, 48.844781325681645], [2.320788416547717, 48.84474829928414], [2.3205524409300247, 48.84482617706741], [2.320606522927883, 48.84489093261104]]], ""type"": ""Polygon""}";48.8447949508643, 2.3207923341848087
CP002870;;75005;12;2;;ENTRETIEN_RESEAU;;Place ValHubert;Face au Boulevard de L'hôpital;2025-07-30;2025-12-02;RESTREINTE;Réduction de nombre des voies de circulation, déviation des cyclistes ainsi que des piétons;1;2;;"{""coordinates"": [[[2.3646194212469633, 48.84407190553188], [2.364869120672853, 48.84394702064829], [2.3648095706010985, 48.84382586463329], [2.3644662370893825, 48.84395562209623], [2.3645289709779216, 48.84414929889825], [2.364615123634981, 48.84409067933343], [2.3646194212469633, 48.84407190553188]]], ""type"": ""Polygon""}";48.84397185783475, 2.3646557380026203
CP002936;;75014;12;1;STV;REFECTION_CHAUSSEE;Réfection quai bus;avenue Maurice d'Ocagne;n° 1 avenue Maurice d'Ocagne 75014;2025-11-03;2025-11-21;SENS_UNIQUE;Mise en sens unique de l'avenue Maurice d'Ocagne dans le sens Porte de Châtillon vers la rue du général de Maud'Huy_;2;2;;"{""coordinates"": [[[2.3169942779609864, 48.82382206826712], [2.3169600201272216, 48.823798376268684], [2.3166897087212446, 48.82386530904968], [2.316721793633712, 48.82389973091448], [2.3167850459636115, 48.823883308964504], [2.316790357585245, 48.823865884126455], [2.316791374983318, 48.82386588993913], [2.3169942779609864, 48.82382206826712]]], ""type"": ""Polygon""}";48.82384690658231, 2.316831576340699
CP002946;;75014;12;3;RATP;TRAVAUX_OUVRAGE;;24 Boulevard Jourdan;depuis la rue de la Cité Universitaire à la zone du tramway.;2025-12-08;2028-10-31;SENS_UNIQUE;Entrée et sortie de camion depuis le parc Montsouris, gestion des piétons et des cyclistes pendant les phases d'entrées et de sorties des P.L;1;1;;"{""coordinates"": [[[2.3378441177319895, 48.82070925705119], [2.3415140402548267, 48.819923905864385], [2.3415312560204273, 48.81984880965986], [2.3378452089374244, 48.82062333079436], [2.3378441177319895, 48.82070925705119]]], ""type"": ""Polygon""}";48.82028808072118, 2.339628073353198
